iter	Passed	Remaining
414	3228	4551
415	3234	4540
416	3239	4529
417	3245	4518
418	3250	4507
419	3257	4498
420	3264	4489
421	3271	4480
422	3278	4472
423	3285	4463
424	3293	4455
425	3299	4445
426	3305	4435
427	3312	4427
428	3318	4417
429	3324	4407
430	3331	4398
431	3339	4390
432	3345	4381
433	3353	4373
434	3365	4371
435	3377	4369
436	3387	4363
437	3394	4355
438	3401	4346
439	3408	4338
440	3415	4329
441	3423	4321
442	3430	4312
443	3437	4304
444	3444	4296
445	3451	4286
446	3458	4278
447	3465	4269
448	3472	4261
449	3479	4252
450	3485	4243
451	3493	4235
452	3500	4226
453	3507	4218
454	3515	4210
455	3522	4201
456	3529	4193
457	3536	4185
458	3543	4177
459	3551	4168
460	3558	4160
461	3565	4151
462	3572	4143
463	3579	4135
464	3586	4126
465	3594	4118
466	3601	4110
467	3608	4101
468	3615	4093
469	3624	4087
470	3631	4078
471	3638	4070
472	3645	4062
473	3652	4053
474	3659	4045
475	3667	4036
476	3673	4028
477	3679	4018
478	3688	4012
479	3694	4002
480	3700	3992
481	3707	3984
482	3715	3977
483	3721	3967
484	3727	3958
485	3733	3949
486	3741	3940
487	3748	3932
488	3755	3924
489	3762	3915
490	3769	3907
491	3776	3899
492	3783	3890
493	3790	3882
494	3797	3874
495	3805	3866
496	3812	3858
497	3819	3849
498	3831	3847
499	3844	3844
500	3853	3837
501	3860	3829
502	3867	3821
503	3877	3816
504	3887	3810
505	3895	3802
506	3901	3793
507	3906	3783
508	3913	3774
509	3920	3766
510	3927	3758
511	3934	3749
512	3941	3741
513	3949	3733
514	3955	3724
515	3963	3717
516	3976	3715
517	3986	3709
518	3993	3700
519	4000	3692
520	4007	3684
521	4014	3676
522	4021	3668
523	4028	3659
524	4035	3651
525	4045	3645
526	4058	3642
527	4072	3640
528	4086	3638
529	4097	3633
530	4105	3626
531	4112	3617
532	4120	3610
533	4126	3601
534	4132	3591
535	4138	3582
536	4145	3573
537	4153	3566
538	4163	3561
539	4178	3559
540	4190	3555
541	4198	3547
542	4205	3539
543	4212	3531
544	4219	3523
545	4227	3514
546	4234	3506
547	4243	3500
548	4255	3496
549	4271	3494
550	4284	3491
551	4293	3484
552	4300	3476
553	4307	3467
554	4314	3459
555	4328	3456
556	4343	3454
557	4357	3451
558	4370	3448
559	4381	3442
560	4388	3434
561	4395	3425
562	4402	3417
563	4409	3408
564	4416	3400
565	4423	3391
566	4430	3383
567	4439	3376
568	4446	3368
569	4453	3359
570	4460	3351
571	4467	3342
572	4474	3334
573	4481	3326
574	4488	3317
575	4495	3309
576	4502	3300
577	4509	3292
578	4516	3283
579	4523	3275
580	4530	3267
581	4537	3258
582	4546	3252
583	4555	3244
584	4562	3236
585	4568	3227
586	4575	3219
587	4588	3215
588	4600	3209
589	4609	3203
590	4618	3196
591	4625	3187
592	4632	3179
593	4639	3170
594	4646	3162
595	4654	3155
596	4661	3146
597	4668	3138
598	4675	3130
599	4682	3121
600	4689	3113
601	4694	3103
602	4702	3095
603	4708	3086
604	4714	3077
605	4720	3069
606	4726	3060
607	4736	3053
608	4745	3046
609	4753	3038
610	4760	3031
611	4767	3022
612	4774	3013
613	4780	3005
614	4785	2995
615	4791	2986
616	4798	2978
617	4805	2970
618	4811	2961
619	4817	2952
620	4823	2943
621	4829	2934
622	4834	2925
623	4841	2917
624	4848	2909
625	4855	2901
626	4863	2893
627	4871	2885
628	4877	2876
629	4883	2867
630	4890	2859
631	4897	2851
632	4905	2843
633	4912	2835
634	4920	2828
635	4926	2819
636	4937	2813
637	4944	2805
638	4951	2797
639	4958	2789
640	4966	2781
641	4973	2773
642	4980	2765
643	4988	2757
644	4994	2749
645	5001	2740
646	5008	2732
647	5015	2724
648	5023	2716
649	5031	2709
650	5039	2701
651	5048	2694
652	5058	2687
653	5065	2680
654	5072	2671
655	5079	2663
656	5087	2655
657	5094	2647
658	5101	2639
659	5108	2631
660	5121	2626
661	5133	2621
662	5142	2613
663	5149	2605
664	5156	2597
665	5163	2589
666	5171	2581
667	5178	2573
668	5185	2565
669	5191	2557
670	5198	2549
671	5205	2540
672	5212	2532
673	5219	2524
674	5226	2516
675	5232	2507
676	5240	2500
677	5246	2491
678	5252	2482
679	5259	2474
680	5266	2466
681	5273	2458
682	5280	2450
683	5289	2443
684	5295	2435
685	5301	2426
686	5307	2418
687	5315	2410
688	5321	2401
689	5328	2394
690	5335	2386
691	5342	2378
692	5350	2370
693	5357	2362
694	5364	2354
695	5371	2346
696	5378	2338
697	5385	2330
698	5394	2322
699	5402	2315
700	5412	2308
701	5425	2303
702	5435	2296
703	5449	2291
704	5463	2286
705	5472	2279
706	5480	2271
707	5487	2263
708	5494	2255
709	5501	2247
710	5509	2239
711	5516	2231
712	5522	2223
713	5532	2215
714	5538	2207
715	5545	2199
716	5551	2191
717	5557	2182
718	5563	2174
719	5570	2166
720	5580	2159
721	5593	2153
722	5601	2145
723	5607	2137
724	5614	2129
725	5621	2121
726	5629	2113
727	5635	2105
728	5643	2097
729	5650	2089
730	5657	2081
731	5665	2074
