iter	Logloss
0	0.6844364553
1	0.6759623715
2	0.6636571355
3	0.6561757192
4	0.6492994028
5	0.6396472705
6	0.6283079187
7	0.6223725707
8	0.6118510667
9	0.6058646033
10	0.5977028141
11	0.5913255155
12	0.5858299007
13	0.5779260231
14	0.571994993
15	0.5636415208
16	0.5587685113
17	0.5535636596
18	0.5484414912
19	0.5433455808
20	0.535146447
21	0.5307150379
22	0.5254444246
23	0.5199784521
24	0.5152401167
25	0.5073283033
26	0.5034930081
27	0.4965630088
28	0.4927295809
29	0.4877738004
30	0.4828430234
31	0.4791166696
32	0.4747423861
33	0.471085966
34	0.4676217541
35	0.4637182174
36	0.4585864211
37	0.4555837657
38	0.4519668492
39	0.4490984886
40	0.4452697287
41	0.441500166
42	0.4381179372
43	0.4355243515
44	0.4308085396
45	0.4277819311
46	0.4242376907
47	0.4207270606
48	0.4178449292
49	0.4150849847
50	0.4124740688
51	0.4096107264
52	0.4071505311
53	0.4045571205
54	0.4017565054
55	0.3993345009
56	0.3961900233
57	0.3937678437
58	0.3911956437
59	0.388528915
60	0.3861565088
61	0.3837810392
62	0.3814004056
63	0.3792293395
64	0.3764904015
65	0.3738169916
66	0.3714746654
67	0.3694326718
68	0.367289235
69	0.3654688294
70	0.3636207654
71	0.3617670413
72	0.359662262
73	0.3576839877
74	0.3554096696
75	0.3522971392
76	0.3504771712
77	0.3485349579
78	0.3466540131
79	0.3447390496
80	0.3427688861
81	0.3411570562
82	0.3393360379
83	0.3374709645
84	0.335381269
85	0.3334150442
86	0.3316756589
87	0.3295736805
88	0.3275610083
89	0.3246435162
90	0.3227697485
91	0.3208722029
92	0.3187360016
93	0.3169841584
94	0.3153405855
95	0.3135990121
96	0.3118661038
97	0.3101079587
98	0.3081496405
99	0.3068179245
100	0.3053407396
101	0.3037921329
102	0.3016733786
103	0.300253115
104	0.2984329136
105	0.2970922992
106	0.2955760482
107	0.294157185
108	0.2927219836
109	0.2911448141
110	0.289914308
111	0.2883140316
112	0.2866534494
113	0.2838587569
114	0.2826532251
115	0.2813145946
116	0.2800235785
117	0.2785491068
118	0.2771284348
119	0.2749169315
120	0.2736908601
121	0.2723066866
122	0.2710926355
123	0.2698655429
124	0.2685926157
125	0.2675375127
126	0.2661288026
127	0.2647953945
128	0.2636462881
129	0.2625842705
130	0.2603107985
131	0.2589949249
132	0.2578123541
133	0.2566788858
134	0.2555703624
135	0.2542806884
136	0.253206884
137	0.2522019045
138	0.2508300431
139	0.2493576137
140	0.2481202806
141	0.2469624798
142	0.2456784659
143	0.2445374265
144	0.2434083782
145	0.2424199267
146	0.2415608393
147	0.2403332945
148	0.2390978432
149	0.2379901514
150	0.2369409419
151	0.2355706997
152	0.2341998303
153	0.23256908
154	0.2314721394
155	0.2306363049
156	0.2295852865
157	0.2286626404
158	0.2275294638
159	0.226744701
160	0.2256740475
161	0.2247092136
162	0.2239784547
163	0.2230928614
164	0.2218825448
165	0.2210773884
166	0.2200177924
167	0.2190962257
168	0.218146067
169	0.2171862075
170	0.2161125052
171	0.2149278046
172	0.2140090096
173	0.2130715715
174	0.2122151829
175	0.2112505823
176	0.2104481247
177	0.2098183568
178	0.209001005
179	0.2081555718
180	0.207173043
181	0.2062764797
182	0.2054502732
183	0.2046466193
184	0.2036532955
185	0.2029034558
186	0.2020420344
187	0.2012596057
188	0.2003258291
189	0.1993738907
190	0.1985680779
191	0.1978070494
192	0.1969213686
193	0.1959985474
194	0.1952487223
195	0.1944379934
196	0.1937033396
197	0.192828906
198	0.1921641713
199	0.1915962992
200	0.1907685318
201	0.1895494917
