iter	Logloss
0	0.6809893208
1	0.669646298
2	0.6588240429
3	0.6490828319
4	0.6394165039
5	0.6295820339
6	0.6205252699
7	0.6125133884
8	0.6045707457
9	0.596711452
10	0.5893898585
11	0.5816387218
12	0.5751701109
13	0.5694540701
14	0.5631018198
15	0.5574005455
16	0.5520348334
17	0.547816779
18	0.5430035991
19	0.5386971422
20	0.5347044586
21	0.5309001635
22	0.5272863573
23	0.5238545736
24	0.5204769996
25	0.5172898487
26	0.5139857467
27	0.5106234643
28	0.5075386622
29	0.5044980941
30	0.5019804267
31	0.4990596976
32	0.4963077012
33	0.4937983687
34	0.4914522233
35	0.4896040065
36	0.4876611853
37	0.4858480146
38	0.4841535999
39	0.4823852539
40	0.480645916
41	0.4788076421
42	0.4773259973
43	0.4757997902
44	0.4739914761
45	0.472614477
46	0.4710601478
47	0.4696210307
48	0.4682027509
49	0.4670623779
50	0.4658898795
51	0.4645159321
52	0.4634761687
53	0.4620997603
54	0.4608631421
55	0.4597437705
56	0.458799071
57	0.4578580139
58	0.4570019794
59	0.4560710292
60	0.4553124869
61	0.4543174169
62	0.4536063574
63	0.4526865313
64	0.45170462
65	0.4509702621
66	0.4501456312
67	0.4492851011
68	0.4485775855
69	0.4479038033
70	0.4472063618
71	0.4464278683
72	0.4457900181
73	0.4448671731
74	0.4441576886
75	0.4434873848
76	0.4428377869
77	0.4422702584
78	0.4415681572
79	0.4410111294
80	0.4404999107
81	0.4399102324
82	0.4392996839
83	0.4387625089
84	0.4382050545
85	0.4375843335
86	0.4370348202
87	0.4366635558
88	0.4361110564
89	0.4357714581
90	0.4352648335
91	0.4348907471
92	0.4343206918
93	0.4338343466
94	0.4333156134
95	0.4327315792
96	0.4321721559
97	0.4317579044
98	0.4312343146
99	0.4308259697
100	0.4302976547
101	0.429833525
102	0.429493697
103	0.4290487966
104	0.4286671628
105	0.4282497611
106	0.4277843845
107	0.427309229
108	0.4266886065
109	0.4263167186
110	0.4260196809
111	0.4256500572
112	0.4252366261
113	0.42495593
114	0.4246825844
115	0.4244059901
116	0.4239330661
117	0.423419452
118	0.4231641216
119	0.4228400118
120	0.4224695677
121	0.4217153242
122	0.4213111795
123	0.420902605
124	0.420594443
125	0.4202132686
126	0.4198556551
127	0.4196010795
128	0.4186190369
129	0.4182477069
130	0.4178666966
131	0.4175379599
132	0.4172999884
133	0.4168268675
134	0.4164873021
135	0.416210675
136	0.4160147718
137	0.415276148
